Name,Publications,Total citations,Median citations,h-index,h-frac-index,hm-index,h-leadership-index,% first author,% last author,% single author,Median author position,cscore,i10-index,Average number of Authors,Median number of Authors
"He, Haibo",100,23634,117.5,80,0,0,0,0.0,0.0,0.0,,4.095594833250045,100,,
"Yang, Laurence T.",100,12526,93.5,76,0,0,0,0.0,0.0,0.0,,3.677120902268727,100,,
"Sayed, Ali H.",100,22189,124.5,72,0,0,0,0.0,0.0,0.0,,4.401722631212136,100,,
"Wong, Kin Lu",100,11910,93.0,73,0,0,0,0.0,0.0,0.0,,4.068638890347348,100,,
"Brox, Thomas",100,82133,134.0,78,0,0,0,0.0,0.0,0.0,,3.818954773024915,100,,
"Zhao, Lili",100,12555,94.5,72,0,0,0,0.0,0.0,0.0,,3.936697375556914,100,,
"Venkatesh, Viswanath",100,82496,150.5,77,0,0,0,0.0,0.0,0.0,,4.79903601806689,100,,
"Kittler, Josef",100,29578,112.0,75,0,0,0,0.0,0.0,0.0,,4.376814715522141,100,,
"Manocha, Dinesh",100,16679,98.0,75,0,0,0,0.0,0.0,0.0,,3.98058880939921,100,,
"Troster, Gerhard",100,15963,110.0,74,0,0,0,0.0,0.0,0.0,,3.535958956300883,100,,
"Horvitz, Eric",100,16878,103.0,73,0,0,0,0.0,0.0,0.0,,4.190472469390882,100,,
"Karagiannidis, George K.",100,18318,118.5,76,0,0,0,0.0,0.0,0.0,,4.121463238855549,100,,
"Rahmat-Samii, Yahya",100,19593,107.5,77,0,0,0,0.0,0.0,0.0,,4.242858696556612,100,,
"Naor, Moni",100,25687,137.0,75,0,0,0,0.0,0.0,0.0,,4.385089624935577,100,,
"Willsky, Alan",100,21524,128.5,72,0,0,0,0.0,0.0,0.0,,4.264530652306012,100,,
"Vardi, Moshe Y.",100,16843,104.5,74,0,0,0,0.0,0.0,0.0,,4.457765175045162,100,,
"Pei, Jian",100,32697,118.5,73,0,0,0,0.0,0.0,0.0,,3.969379853569344,100,,
"Cranor, Lorrie",100,15743,119.0,75,0,0,0,0.0,0.0,0.0,,3.955474967654094,100,,
"Ramchandran, Kannan",100,17904,118.5,72,0,0,0,0.0,0.0,0.0,,3.570694675155679,100,,
"Lou, Wenjing",100,22974,123.5,72,0,0,0,0.0,0.0,0.0,,3.855752020027377,100,,
"Ottersten, Bjorn",100,15265,118.5,73,0,0,0,0.0,0.0,0.0,,3.88663857696673,100,,
"Lin, Weisi",100,14925,114.5,78,0,0,0,0.0,0.0,0.0,,3.664065973151962,100,,
"Zhai, Cheng Xiang",100,19767,100.5,73,0,0,0,0.0,0.0,0.0,,4.163065940295156,100,,
"De Micheli, Giovanni",100,16145,87.0,72,0,0,0,0.0,0.0,0.0,,4.094457621903446,100,,
"Li, Shutao",100,23918,131.5,75,0,0,0,0.0,0.0,0.0,,3.949873363168874,100,,
"McKeown, Nick",100,22755,117.0,72,0,0,0,0.0,0.0,0.0,,4.16133922878096,100,,
"Dongarra, Jack",100,16888,98.5,72,0,0,0,0.0,0.0,0.0,,4.12421357116042,100,,
"Zeadally, Sherali",100,17913,134.0,81,0,0,0,0.0,0.0,0.0,,3.751489197008308,100,,
"Blei, David M.",100,63183,115.0,75,0,0,0,0.0,0.0,0.0,,4.676150234339108,100,,
"Sebe, Nicu",100,17035,116.0,79,0,0,0,0.0,0.0,0.0,,3.820936885362586,100,,
"Wang, Ling",100,8535,54.0,51,0,0,0,0.0,0.0,0.0,,4.012404064872886,100,,
